id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2_2,url + code
recTnsA096ePHLiXT,K_K016_SU_4100,K016,SU,CARBON MARINE WOOD,https://qr-codes-page.vercel.app/product/recTnsA096ePHLiXT,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recTnsA096ePHLiXT, K_K016_SU_4100"
rec1UiH5yMAlgK9ql,K_K023_SU_4100,K023,SU,VENATO,https://qr-codes-page.vercel.app/product/rec1UiH5yMAlgK9ql,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rec1UiH5yMAlgK9ql, K_K023_SU_4100"
recUgpigukXSPXWRy,K_K028_SU_4100,K028,SU,PORTLAND,https://qr-codes-page.vercel.app/product/recUgpigukXSPXWRy,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recUgpigukXSPXWRy, K_K028_SU_4100"
recaL4EGhhglF2mI6,K_K029_SU_4100,K029,SU,BLOK LNIANY,https://qr-codes-page.vercel.app/product/recaL4EGhhglF2mI6,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recaL4EGhhglF2mI6, K_K029_SU_4100"
recAylpwLYDfK07Ir,K_K030_SU_4100,K030,SU,BLOK JAVA,https://qr-codes-page.vercel.app/product/recAylpwLYDfK07Ir,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recAylpwLYDfK07Ir, K_K030_SU_4100"
rec5bkQIVhzAPcGnB,K_K095_SU_4100,K095,SU,MARMUR TERRAZZO JASNY,https://qr-codes-page.vercel.app/product/rec5bkQIVhzAPcGnB,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rec5bkQIVhzAPcGnB, K_K095_SU_4100"
rec4sVO3IrdrfHsIj,K_K201_RS_4100,K201,RS,BETON CIEMNOSZARY,https://qr-codes-page.vercel.app/product/rec4sVO3IrdrfHsIj,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,,"PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rec4sVO3IrdrfHsIj, K_K201_RS_4100"
recVCxUp11FRjTRpV,K_K205_RS_4100,K205,RS,BETON CZARNY,https://qr-codes-page.vercel.app/product/recVCxUp11FRjTRpV,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 332,31",,,"PLN 542,23","PLN 723,81",,,,,,"https://qr-codes-page.vercel.app/product/recVCxUp11FRjTRpV, K_K205_RS_4100"
recdw4Cky1311vPFp,K_K207_RS_4100,K207,RS,GALAXY SZARY,https://qr-codes-page.vercel.app/product/recdw4Cky1311vPFp,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,"PLN 542,23","PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/recdw4Cky1311vPFp, K_K207_RS_4100"
rec7XNAQmskG400hQ,K_K209_RS_4100,K209,RS,WAPIEŃ CREMA,https://qr-codes-page.vercel.app/product/rec7XNAQmskG400hQ,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",K,4100,600;900;1200,"Blat roboczy, jednostronnie zaoblony.",,38,1,Kronospan,,"PLN 345,75",,,"PLN 542,23","PLN 750,83",,,,,,"https://qr-codes-page.vercel.app/product/rec7XNAQmskG400hQ, K_K209_RS_4100"
