id,code,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_600_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2,url + code
recQzaxg5Bnhpfr77,J_5056_SILK_3050_4200_38,5056,SILK,MARMUR ALESUND,https://qr-codes-page.vercel.app/product/recQzaxg5Bnhpfr77,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/recQzaxg5Bnhpfr77, J_5056_SILK_3050_4200_38"
recPZ8Xgg3E2C5Vot,J_5094_STONE_3050_4200_38,5094,STONE,SKYFALL,https://qr-codes-page.vercel.app/product/recPZ8Xgg3E2C5Vot,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/recPZ8Xgg3E2C5Vot, J_5094_STONE_3050_4200_38"
rec9AxxIMUcW0boNK,J_5111_STONE_3050_4200_38,5111,STONE,SUPERNATURAL,https://qr-codes-page.vercel.app/product/rec9AxxIMUcW0boNK,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 87,29","PLN 176,76","PLN 184,56","PLN 192,34","PLN 215,09","PLN 146,33","PLN 179,88","PLN 187,86","PLN 195,84","PLN 192,02","https://qr-codes-page.vercel.app/product/rec9AxxIMUcW0boNK, J_5111_STONE_3050_4200_38"
reccrqxYnN0RpCfvo,J_9999_MG_3050_4200_38,9999,MG,ALHAMBRA,https://qr-codes-page.vercel.app/product/reccrqxYnN0RpCfvo,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/reccrqxYnN0RpCfvo, J_9999_MG_3050_4200_38"
recR2DDZxU3ErOAq3,J_1049_QUARY_3050_4200_38,1049,QUARY,CZARNY KAMIEŃ,https://qr-codes-page.vercel.app/product/recR2DDZxU3ErOAq3,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recR2DDZxU3ErOAq3, J_1049_QUARY_3050_4200_38"
recUFPR9rPbft4p2z,J_3303_ST10_3050_4200_38,3303,ST10,DĄB ARLINGTON,https://qr-codes-page.vercel.app/product/recUFPR9rPbft4p2z,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recUFPR9rPbft4p2z, J_3303_ST10_3050_4200_38"
recDDruIUiIxxUdhO,J_1318_ST19_3050_4200_38,1318,ST19,DĄB ARTISAN,https://qr-codes-page.vercel.app/product/recDDruIUiIxxUdhO,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recDDruIUiIxxUdhO, J_1318_ST19_3050_4200_38"
recdwG0zm1FsvkMlw,J_6156_WO_3050_4200_38,6156,WO,DĄB CANYON,https://qr-codes-page.vercel.app/product/recdwG0zm1FsvkMlw,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recdwG0zm1FsvkMlw, J_6156_WO_3050_4200_38"
recnKBp0pnNam20x5,J_K003N_PR_3050_4200_38,K003N,PR,DĄB CRAFT,https://qr-codes-page.vercel.app/product/recnKBp0pnNam20x5,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recnKBp0pnNam20x5, J_K003N_PR_3050_4200_38"
recabkrmFs50CUTsx,J_2032_ST10_3050_4200_38,2032,ST10,DĄB HUNTON,https://qr-codes-page.vercel.app/product/recabkrmFs50CUTsx,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recabkrmFs50CUTsx, J_2032_ST10_3050_4200_38"
rechhHio3LklPRXxi,J_3332_ST10_3050_4200_38,3332,ST10,DĄB NEBRASKA SZARY,https://qr-codes-page.vercel.app/product/rechhHio3LklPRXxi,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/rechhHio3LklPRXxi, J_3332_ST10_3050_4200_38"
recbD9L6uWfWupAgz,J_3331_ST10_3050_4200_38,3331,ST10,DĄB NEBRASKA,https://qr-codes-page.vercel.app/product/recbD9L6uWfWupAgz,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recbD9L6uWfWupAgz, J_3331_ST10_3050_4200_38"
recapdJ7fOxjgCZEl,J_3730_ST10_3050_4200_38,3730,ST10,HIKORA NATURALNA,https://qr-codes-page.vercel.app/product/recapdJ7fOxjgCZEl,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recapdJ7fOxjgCZEl, J_3730_ST10_3050_4200_38"
reczvIeMDYIUdMGUl,J_112_GR_3050_4200_38,112,GR,JASNO SZARY,https://qr-codes-page.vercel.app/product/reczvIeMDYIUdMGUl,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/reczvIeMDYIUdMGUl, J_112_GR_3050_4200_38"
recK80FV55jr8JSOS,J_5186_MATT_3050_4200_38,5186,MATT,MARMUR BLANCHENOWOŚĆ,https://qr-codes-page.vercel.app/product/recK80FV55jr8JSOS,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recK80FV55jr8JSOS, J_5186_MATT_3050_4200_38"
reci7rLvqx3zJGIYM,J_5163_P_3050_38,5163,P,MARMUR BRĄZOWY,https://qr-codes-page.vercel.app/product/reci7rLvqx3zJGIYM,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/reci7rLvqx3zJGIYM, J_5163_P_3050_38"
rec8Jdd0ih3njfLVz,J_5090 (990GR)_QUARTZ_3050_4200_38,5090 (990GR),QUARTZ,MARMUR CREAM CARRARANOWOŚĆ,https://qr-codes-page.vercel.app/product/rec8Jdd0ih3njfLVz,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/rec8Jdd0ih3njfLVz, J_5090 (990GR)_QUARTZ_3050_4200_38"
recH6LngvlLALYg6k,J_5177_MATT_3050_4200_38,5177,MATT,MARMUR CASPIO ZŁOTYNOWOŚĆ,https://qr-codes-page.vercel.app/product/recH6LngvlLALYg6k,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recH6LngvlLALYg6k, J_5177_MATT_3050_4200_38"
recupPebkM9yNpCWC,J_5187_MATT_3050_4200_38,5187,MATT,MARMUR EFEZNOWOŚĆ,https://qr-codes-page.vercel.app/product/recupPebkM9yNpCWC,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recupPebkM9yNpCWC, J_5187_MATT_3050_4200_38"
recQdVmm8o6lfk6lT,J_5162_P_3050_38,5162,P,MARMUR SZARY,https://qr-codes-page.vercel.app/product/recQdVmm8o6lfk6lT,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recQdVmm8o6lfk6lT, J_5162_P_3050_38"
recnPnv7fOqfhm8LF,J_1365_SD_3050_38,1365,SD,ORZECH,https://qr-codes-page.vercel.app/product/recnPnv7fOqfhm8LF,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recnPnv7fOqfhm8LF, J_1365_SD_3050_38"
recS4rcH3WqXdt8R8,J_4950N_GR_3050_4200_38,4950N,GR,PIETRA,https://qr-codes-page.vercel.app/product/recS4rcH3WqXdt8R8,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recS4rcH3WqXdt8R8, J_4950N_GR_3050_4200_38"
recABeGIAjRKe4u8w,J_5526_SK_3050_4200_38,5526,SK,SANDR,https://qr-codes-page.vercel.app/product/recABeGIAjRKe4u8w,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recABeGIAjRKe4u8w, J_5526_SK_3050_4200_38"
recCkuXLFLNvogN9g,J_8937_GR_3050_4200_38,8937,GR,SNOWLAND,https://qr-codes-page.vercel.app/product/recCkuXLFLNvogN9g,Blat,"600: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050; 4200,600; 700; 800; 900; 1200,"Blat postforming,  jednostronnie lub dwustronnie zaoblony",,38,1_2,Juan,,"PLN 92,09","PLN 188,11","PLN 195,89","PLN 203,68","PLN 226,42","PLN 151,99","PLN 191,22","PLN 199,20","PLN 207,18","PLN 202,65","https://qr-codes-page.vercel.app/product/recCkuXLFLNvogN9g, J_8937_GR_3050_4200_38"
