id,code,calculator_link,decor,structure,name,url,category,sellUnit,label,length,width,description,isNew,thickness,side,producer,additional_info,price_635_m_1,price_700_m_1,price_800_m_1,price_900_m_1,price_1200_m_1,price_600_m_2,price_700_m_2,price_800_m_2,price_900_m_2,price_1200_m_2,url + code,Juan 38 ABS,table_id
recH9YM5vjrKA4Hc8,J_C005_CL_3050,recz55DgZfTuzIXtb,C005,CL,DĄB CRICKET,https://qr-codes-page.vercel.app/product/recH9YM5vjrKA4Hc8?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 138,45","PLN 284,44","PLN 289,56","PLN 294,70","PLN 309,68","PLN 185,44","PLN 302,17","PLN 307,30","PLN 312,43","PLN 311,82","https://qr-codes-page.vercel.app/product/recH9YM5vjrKA4Hc8?table=tblHkykZmLJghpL6Z, J_C005_CL_3050",recz55DgZfTuzIXtb,tblHkykZmLJghpL6Z
recBDiOETKAkFU0dZ,J_H438_V9A_3050,recyq4D6efpeUhStV,H438,V9A,DĄB HERITAGE,https://qr-codes-page.vercel.app/product/recBDiOETKAkFU0dZ?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 138,45","PLN 284,44","PLN 289,56","PLN 294,70","PLN 309,68","PLN 185,44","PLN 302,17","PLN 307,30","PLN 312,43","PLN 311,82","https://qr-codes-page.vercel.app/product/recBDiOETKAkFU0dZ?table=tblHkykZmLJghpL6Z, J_H438_V9A_3050",recyq4D6efpeUhStV,tblHkykZmLJghpL6Z
recouJh164o4Zo6eC,J_H437_V8A_3050,recPqkXn9Q5onnwcp,H437,V8A,DĄB KRÓLEWSKI,https://qr-codes-page.vercel.app/product/recouJh164o4Zo6eC?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 151,53","PLN 314,63","PLN 319,88","PLN 325,10","PLN 340,38","PLN 198,94","PLN 332,72","PLN 337,95","PLN 343,19","PLN 341,40","https://qr-codes-page.vercel.app/product/recouJh164o4Zo6eC?table=tblHkykZmLJghpL6Z, J_H437_V8A_3050",recPqkXn9Q5onnwcp,tblHkykZmLJghpL6Z
rec3N8icoDAl5ey3X,J_H440_Z5L_3050,recFBhKw5N876slyc,H440,Z5L,DĄB MINESOTA CIEPŁA,https://qr-codes-page.vercel.app/product/rec3N8icoDAl5ey3X?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 151,53","PLN 314,63","PLN 319,88","PLN 325,10","PLN 340,38","PLN 198,94","PLN 332,72","PLN 337,95","PLN 343,19","PLN 341,40","https://qr-codes-page.vercel.app/product/rec3N8icoDAl5ey3X?table=tblHkykZmLJghpL6Z, J_H440_Z5L_3050",recFBhKw5N876slyc,tblHkykZmLJghpL6Z
recglS6cWm2b9ZadD,J_H162_Z5L_3050,recUx4mhw6FdYTSoa,H162,Z5L,DĄB MINESOTA NATURALNA,https://qr-codes-page.vercel.app/product/recglS6cWm2b9ZadD?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 151,53","PLN 314,63","PLN 319,88","PLN 325,10","PLN 340,38","PLN 198,94","PLN 332,72","PLN 337,95","PLN 343,19","PLN 341,40","https://qr-codes-page.vercel.app/product/recglS6cWm2b9ZadD?table=tblHkykZmLJghpL6Z, J_H162_Z5L_3050",recUx4mhw6FdYTSoa,tblHkykZmLJghpL6Z
recwBqUtSCIpwOemU,J_H1227_TM12_4200,recQ2DIgUJhIXo4xU,H1227,TM12,JESION ABANO BRĄZOWY,https://qr-codes-page.vercel.app/product/recwBqUtSCIpwOemU?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 151,53","PLN 314,63","PLN 319,88","PLN 325,10","PLN 340,38","PLN 198,94","PLN 332,72","PLN 337,95","PLN 343,19","PLN 341,40","https://qr-codes-page.vercel.app/product/recwBqUtSCIpwOemU?table=tblHkykZmLJghpL6Z, J_H1227_TM12_4200",recQ2DIgUJhIXo4xU,tblHkykZmLJghpL6Z
recUdeDRb3Lm60vnQ,J_1100_PT_4200,recfs38G4jvl1PL6X,1100,PT,BIAŁY ALPEJSKI,https://qr-codes-page.vercel.app/product/recUdeDRb3Lm60vnQ?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 195,58","PLN 374,11","PLN 379,24","PLN 384,37","PLN 399,35","PLN 232,30","PLN 395,29","PLN 400,41","PLN 405,55","PLN 400,49","https://qr-codes-page.vercel.app/product/recUdeDRb3Lm60vnQ?table=tblHkykZmLJghpL6Z, J_1100_PT_4200",recfs38G4jvl1PL6X,tblHkykZmLJghpL6Z
rec82Qq6oCJr3l56K,J_999_PT_4200,reckFufuKEIbXpME1,999,PT,CZARNY,https://qr-codes-page.vercel.app/product/rec82Qq6oCJr3l56K?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 195,58","PLN 374,11","PLN 379,24","PLN 384,37","PLN 399,35","PLN 232,30","PLN 395,29","PLN 400,41","PLN 405,55","PLN 400,49","https://qr-codes-page.vercel.app/product/rec82Qq6oCJr3l56K?table=tblHkykZmLJghpL6Z, J_999_PT_4200",reckFufuKEIbXpME1,tblHkykZmLJghpL6Z
rec7Bs9P4ibYGoHMx,J_732_PT_4200,recDj1QMmUPLqrWJX,732,PT,SZARY PRZYKURZONY,https://qr-codes-page.vercel.app/product/rec7Bs9P4ibYGoHMx?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,4200,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",,28,1_2,Juan,,"PLN 195,58","PLN 374,11","PLN 379,24","PLN 384,37","PLN 399,35","PLN 232,30","PLN 395,29","PLN 400,41","PLN 405,55","PLN 400,49","https://qr-codes-page.vercel.app/product/rec7Bs9P4ibYGoHMx?table=tblHkykZmLJghpL6Z, J_732_PT_4200",recDj1QMmUPLqrWJX,tblHkykZmLJghpL6Z
recF3YzZ9jJOkI430,J_C003_CL_3050,rec30FXZ3KxZT2ySR,C003,CL,DĄB POLO,https://qr-codes-page.vercel.app/product/recF3YzZ9jJOkI430?table=tblHkykZmLJghpL6Z,Blat,"635: możliwość kupna połowy blatu.
Pozostałe wartianty sprzedawane w całości.",J,3050,635;700;800;900;1200 ,"Blat z krawędzią prostą, oklejany obrzeżem ABS, bez,  jednostronnie lub dwustronnie zaoblony",checked,28,1_2,Juan,,"PLN 138,45","PLN 284,44","PLN 289,56","PLN 294,70","PLN 309,68","PLN 185,44","PLN 302,17","PLN 307,30","PLN 312,43","PLN 311,82","https://qr-codes-page.vercel.app/product/recF3YzZ9jJOkI430?table=tblHkykZmLJghpL6Z, J_C003_CL_3050",rec30FXZ3KxZT2ySR,tblHkykZmLJghpL6Z
