id,code,decor,structure,name,url,price,category,sellUnit,Label,height,width,description,isNew,worktop,thickness,producer,url + code
reclZQSBdBwpAnlWZ,K361_PW_2800x2070_18,K361,PW,DĄB HARBOR ZŁOTY ,https://azmproducts.plasmic.run/product/reclZQSBdBwpAnlWZ,"PLN 289,95",Płyta,PÓŁ,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/reclZQSBdBwpAnlWZ, K361_PW_2800x2070_18"
recKTto4SStA4gCxS,K524_SN_2800x2070_18,K524,SN,JESION SURFSIDE ,https://azmproducts.plasmic.run/product/recKTto4SStA4gCxS,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recKTto4SStA4gCxS, K524_SN_2800x2070_18"
recXz0XWnGVfQBGgE,K525_SN_2800x2070_18,K525,SN,JESION SURFSIDE JASNY ,https://azmproducts.plasmic.run/product/recXz0XWnGVfQBGgE,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recXz0XWnGVfQBGgE, K525_SN_2800x2070_18"
recSAdcoqIGOg820k,K526_SN_2800x2070_18,K526,SN,JESION SURFSIDE STALOWA ,https://azmproducts.plasmic.run/product/recSAdcoqIGOg820k,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recSAdcoqIGOg820k, K526_SN_2800x2070_18"
reclFgJvcqRG84751,K535_RW_2800x2070_18,K535,RW,DĄB BAROKOWY ZŁOTY ,https://azmproducts.plasmic.run/product/reclFgJvcqRG84751,"PLN 289,95",Płyta,PÓŁ,,2800,2070,Płyta laminowana,,SE K535 RW,18,Kronospan,"https://azmproducts.plasmic.run/product/reclFgJvcqRG84751, K535_RW_2800x2070_18"
recrnTWcAOechYFT4,K536_RW_2800x2070_18,K536,RW,DĄB BAROKOWY BURSZTYNOWY,https://azmproducts.plasmic.run/product/recrnTWcAOechYFT4,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K536 RW,18,Kronospan,"https://azmproducts.plasmic.run/product/recrnTWcAOechYFT4, K536_RW_2800x2070_18"
recLZdTMXLkase68s,K537_RW_2800x2070_18,K537,RW,DĄB BAROKOWY RISTRETTO,https://azmproducts.plasmic.run/product/recLZdTMXLkase68s,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,SE K537 RW,18,Kronospan,"https://azmproducts.plasmic.run/product/recLZdTMXLkase68s, K537_RW_2800x2070_18"
recE5Y4CUMgsboAwv,K541_PN_2800x2070_18,K541,PN,JUTA JASNA,https://azmproducts.plasmic.run/product/recE5Y4CUMgsboAwv,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recE5Y4CUMgsboAwv, K541_PN_2800x2070_18"
recLDGN5ElreWHgQ4,K542_PN_2800x2070_18,K542,PN,JUTA CIEMNA ,https://azmproducts.plasmic.run/product/recLDGN5ElreWHgQ4,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recLDGN5ElreWHgQ4, K542_PN_2800x2070_18"
recAB9Rg0xkihLvzk,K543_SN_2800x2070_18,K543,SN,DĄB BARBERA PIASKOWY ,https://azmproducts.plasmic.run/product/recAB9Rg0xkihLvzk,"PLN 289,95",Płyta,CAŁA,,2800,2070,Płyta laminowana,,,18,Kronospan,"https://azmproducts.plasmic.run/product/recAB9Rg0xkihLvzk, K543_SN_2800x2070_18"
